method = 0 LS
	1 FR
	2 PRP+
	3 HS
	4 DY
	5 CG - Descent

 Pro  Dim flag  iter    nfg     evalf       ||evalg||_inf   method   cpu
 66   5000  1  10000  10642            NaN            NaN      0    254  1
 66   5000  0      4     17 -4.0842431D+03  1.0475310D-09      1      0  1
 66   5000  1  10000  10031            NaN            NaN      2    232  1
 66   5000  1  10000  10051            NaN            NaN      3    234  1
 66   5000  0      4     17 -4.0842431D+03  1.0475332D-09      4      0  1
 66   5000  0      4     17 -4.0842431D+03  1.0475394D-09      5      0  1
 67   5000  0      4     36 -2.4022651D+03  1.5082917D-09      0      0  1
 67   5000  0      4     36 -2.4022651D+03  4.4609005D-10      1      2  1
 67   5000  1  10000  10132            NaN            NaN      2    262  1
 67   5000  1  10000  10054            NaN            NaN      3    258  1
 67   5000  0      4     36 -2.4022651D+03  7.4310520D-09      4      1  1
 67   5000  0      4     36 -2.4022651D+03  7.7561284D-09      5      0  1
 68   5000  1  10000  10004            NaN            NaN      0    269  1
 68   5000  1  10000  10004            NaN            NaN      1    269  1
 68   5000  1  10000  10003            NaN            NaN      2    270  1
 68   5000  1  10000  10003            NaN            NaN      3    268  1
 68   5000  1  10000  10004            NaN            NaN      4    269  1
 68   5000  1  10000  10004            NaN            NaN      5    292  1
 69   5000  1  10000  10053            NaN            NaN      0   2089  1
 69   5000  0     17     45  1.9329976D+03  3.4231241D-07      1      1  1
 69   5000  0     15     58  1.9329976D+03  2.8126548D-07      2      2  1
 69   5000  0     23     84  1.9329976D+03  8.4868309D-07      3      4  1
 69   5000  0     18     46  1.9329976D+03  8.6892923D-07      4      1  1
 69   5000  0      9     27  1.9329976D+03  1.3040473D-07      5      0  1
 70   5000  1  10000  10267            NaN            NaN      0    224  1
 70   5000  0     54     88  3.2869453D-13  8.1146220D-07      1      1  1
 70   5000  0     32     65  1.1139694D-12  8.6182554D-07      2      0  1
 70   5000  0     33     73  2.7008782D-13  5.7547322D-07      3      2  1
 70   5000  0     36     67  5.6480416D-13  9.0951235D-07      4      2  1
 70   5000  0     33     64  3.1647758D-13  7.4321340D-07      5      0  1
 71   5000  1  10000  10046            NaN            NaN      0    215  1
 71   5000  1  10000  13375  4.9086318D-04  8.9600780D-02      1    248  1
 71   5000  1  10000  16052  1.7555189D-06  6.6436952D-05      2    265  1
 71   5000  0     40     86  5.3723276D-15  7.2205593D-07      3      2  1
 71   5000  0   7399   7827  4.0922481D-08  9.8931649D-07      4    162  1
 71   5000  0   6539  10682  3.8414426D-07  8.2412369D-07      5    191  1
 72   5000  1  10000  10057  2.8822757D+10  3.7962321D+09      0    261  1
 72   5000  1  10000  10004  2.0000000D-01  5.3049830D-06      1    258  1
 72   5000  1  10000  10004  2.0000000D-01  5.3049830D-06      2    258  1
 72   5000  1  10000  10004            NaN            NaN      3    260  1
 72   5000  1  10000  10004            NaN            NaN      4    258  1
 72   5000  1  10000  10004            NaN            NaN      5    282  1
 73   5000  1  10000  10209            NaN            NaN      0    244  1
 73   5000  0     56    121  1.3042569D-15  7.8979086D-07      1      3  1
 73   5000  0    574   3391  8.9094608D+01  9.7452942D-07      2     44  1
 73   5000  0     21     59  1.3216283D-15  8.8404490D-07      3      1  1
 73   5000  0   1187   1299  5.8514649D-15  9.9727724D-07      4     30  1
 73   5000  0     24     57  5.3469437D-16  7.9349591D-07      5      2  1
 74   5000  0      2      5  3.1583994D-22  1.2586185D-25      0      0  1
 74   5000  0      2      5  6.5357434D-24  2.5509585D-27      1      0  1
 74   5000  0      2      5  6.0552067D-24  2.3638348D-27      2      0  1
 74   5000  0      7     20  0.0000000D+00  0.0000000D+00      3      0  1
 74   5000  0      2      5  8.3892153D-24  3.2742989D-27      4      0  1
 74   5000  0      2      5  8.9462787D-24  3.4823191D-27      5      0  1
 75   5000  1  10000  10663            NaN            NaN      0    906  1
 75   5000  0      9     21 -2.5000000D+03  3.6586067D-07      1      0  1
 75   5000  0      4     11 -2.5000000D+03  1.5250360D-07      2      0  1
 75   5000  0      4     11 -2.5000000D+03  2.4586932D-09      3      0  1
 75   5000  0      9     21 -2.5000000D+03  3.6584325D-07      4      0  1
 75   5000  0      4     11 -2.5000000D+03  2.4586955D-09      5      0  1
 76   5000  0      1      5  2.7026357D-14  8.0544851D-09      0      0  1
 76   5000  0      1      5  9.6218083D-15  4.8057700D-09      1      2  1
 76   5000  0      1      5  1.3738243D-14  5.7425495D-09      2      0  1
 76   5000  0      2      7  3.0291379D-16  8.7311491D-10      3      0  1
 76   5000  0      1      5  2.1755815D-14  7.2250259D-09      4      0  1
 76   5000  0      1      5  1.1630377D-14  5.2841642D-09      5      0  1
