method = 0 LS
	1 FR
	2 PRP+
	3 HS
	4 DY
	5 CG - Descent

 Pro  Dim flag  iter    nfg     evalf       ||evalg||_inf   method   cpu
 16   5000  0     12     29  6.3981667D+03  9.2099802D-07      1      1  1
 16   5000  0     16     59  6.3981667D+03  1.0322952D-07      2      2  1
 16   5000  1  10000  10004            NaN            NaN      3    245  1
 16   5000  0     41   1006  6.3981667D+03  2.8068811D-07      4     20  1
 16   5000  0      8     17  6.3981667D+03  8.1173703D-09      5      0  1
 17   5000  1  10000  10048            NaN            NaN      0   1634  1
 17   5000  0    601   1508  2.2218042D+00  9.9754822D-07      1     30  1
 17   5000  0     52    105  2.4784702D+00  7.8096936D-07      2      3  1
 17   5000  0    115    178  3.6476913D+00  9.9297332D-07      3      4  1
 17   5000  0    226    307  9.5841278D-01  9.4715501D-07      4      8  1
 17   5000  0     42     86  1.2633914D+00  6.3030836D-07      5      2  1
 18   5000  1  10000  10009  2.5977755D+02  4.0445652D+00      0    191  1
 18   5000  0      2      7  1.5970831D-13  1.1303386D-08      1      0  1
 18   5000  0      2      7  3.2783042D-17  1.1376464D-09      2      0  1
 18   5000  0      2      7  1.5833326D-17  1.1254623D-09      3      0  1
 18   5000  0      2      7  1.5973987D-13  1.1304506D-08      4      0  1
 18   5000  0      2      7  3.9488516D-20  5.6199105D-11      5      0  1
 19   5000  0      6     21  3.4657359D+03  5.0075444D-11      0      1  1
 19   5000  0      3     11  3.4657359D+03  4.2069255D-07      1      0  1
 19   5000  1  10000  10005            NaN            NaN      2    318  1
 19   5000  0      6     18  3.4657359D+03  1.9337404D-10      3      1  1
 19   5000  0      3     11  3.4657359D+03  4.2069253D-07      4      0  1
 19   5000  0      3     11  3.4657359D+03  4.2069255D-07      5      1  1
 20   5000  1  10000  10108            NaN            NaN      0    193  1
 20   5000  0     44     76  2.6415420D-11  8.6657557D-07      1      1  1
 20   5000  0     11     24  2.9450544D-22  3.1689842D-12      2      1  1
 20   5000  0     18     76  1.2716667D-12  2.5856913D-07      3      0  1
 20   5000  0      9     21  6.6440035D-11  9.2764599D-07      4      1  1
 20   5000  0      7     17  2.1316789D-11  5.6057803D-07      5      0  1
 21   5000  1  10000  10601            NaN            NaN      0   1507  1
 21   5000  1  10000  32203  4.9987412D+03  2.0551295D-01      1    926  1
 21   5000  0   1210   3759  4.9987220D+03  7.7198036D-07      2    109  1
 21   5000  0    604   1833  4.9987220D+03  7.2050617D-07      3     53  1
 21   5000  0   4291  66191  4.9987220D+03  9.4326474D-07      4   1681  1
 21   5000  0   1403  11258  4.9987220D+03  9.4617130D-07      5    299  1
 22   5000  1  10000  10053            NaN            NaN      0   2108  1
 22   5000  0     17     45  1.9329976D+03  3.4231241D-07      1      2  1
 22   5000  0     15     58  1.9329976D+03  2.8126548D-07      2      2  1
 22   5000  0     23     84  1.9329976D+03  8.4868309D-07      3      3  1
 22   5000  0     18     46  1.9329976D+03  8.6892923D-07      4      2  1
 22   5000  0      9     27  1.9329976D+03  1.3040473D-07      5      1  1
 23   5000  1  10000  10053            NaN            NaN      0   2253  1
 23   5000  0    240    431  2.5600615D-07  6.5235173D-07      1      6  1
 23   5000  0     73    135  9.0520432D-07  9.7329904D-07      2      4  1
 23   5000  0    117    224  2.1835830D-07  3.2312743D-07      3      3  1
 23   5000  0    281    530  2.8346188D-07  7.1242101D-07      4     10  1
 23   5000  0    100    176  6.2800989D-07  7.0215054D-07      5      3  1
 24   5000  1  10000  10047            NaN            NaN      0    209  1
 24   5000  0   1146   1640  2.7133367D-10  9.3842598D-07      1     34  1
 24   5000  0     33     96  9.5433225D-11  3.5787751D-07      2      2  1
 24   5000  1  10000  10030            NaN            NaN      3    210  1
 24   5000  0    147    207  5.7122659D-11  4.5182023D-07      4      5  1
 24   5000  0      9     34  3.0890110D-16  2.0259824D-09      5      0  1
 25   5000  1  10000  10447            NaN            NaN      0    194  1
 25   5000  0   7222   8979 -2.5015606D+03  5.8583959D-07      1    149  1
 25   5000  1  10000  10274            NaN            NaN      2    192  1
 25   5000  0     72    187 -2.5015606D+03  1.1900613D-07      3      2  1
 25   5000  0   6913   7177 -2.5015606D+03  9.3344539D-07      4    133  1
 25   5000  0     44    106 -2.5015606D+03  5.3950400D-10      5      2  1
 26   5000  1  10000  10018            NaN            NaN      0    224  1
 26   5000  0     16     50  4.9946653D+02  2.9854019D-07      1      1  1
 26   5000  1  10000  10004  6.9042215D+47  5.5233772D+45      2    268  1
 26   5000  1  10000  10009            NaN            NaN      3    224  1
 26   5000  0     82    167  4.9946654D+02  9.9124924D-07      4      3  1
 26   5000  0     15     42  4.9946653D+02  7.4062806D-08      5      1  1
 27   5000  1  10000  10004  2.5745111D-01  2.0683368D-01      0    228  1
 27   5000  0    757   1447  5.4422184D-11  9.7686631D-07      1     24  1
 27   5000  0    454    807  3.3186807D-11  9.8918996D-07      2     13  1
 27   5000  0   1098   1981  6.2186577D-11  9.8214563D-07      3     33  1
 27   5000  0    619   1178  4.0084953D-11  9.8522208D-07      4     20  1
 27   5000  0   1264   2425  5.0543991D-11  9.8249396D-07      5     44  1
 28   5000  1  10000  10054            NaN            NaN      0    211  1
 28   5000  0    112    218  6.7185288D-11  9.7632637D-07      1      3  1
 28   5000  0     65    133  1.3516233D-11  7.1382713D-07      2      1  1
 28   5000  0     87    214  1.2383290D-11  1.6682027D-07      3      4  1
 28   5000  0     95    178  9.6071118D-11  6.7852396D-07      4      3  1
 28   5000  0    161    309  6.2333773D-12  8.0452947D-08      5      5  1
 29   5000  1  10000  10390  8.4155773D+33  1.3030915D+34      0    202  1
 29   5000  1  10000  12458  1.9817099D+05  1.0541001D+03      1    214  1
 29   5000  0     59    170  6.1248997D-10  1.9081882D-07      2      4  1
 29   5000  0     68    204  1.1466025D-13  5.2134874D-07      3      1  1
 29   5000  1  10000  10105  1.9525020D+05  7.8847625D+02      4    199  1
 29   5000  0     58    111  3.9563582D-16  2.0799956D-08      5      2  1
 30   5000  1  10000  10004  6.9458317D+05  1.6656675D+03      0    200  1
 30   5000  0   3008   3887 -9.9999999D-05  9.9878055D-07      1     64  1
 30   5000  0    939   1379 -9.9999999D-05  9.9744246D-07      2     22  1
 30   5000  0    956   1227 -1.0000000D-04  9.7096662D-07      3     21  1
 30   5000  0    979   1077 -9.9999999D-05  9.8642496D-07      4     20  1
 30   5000  0   1105   1522 -1.0000000D-04  9.4570195D-07      5     27  1
 31   5000  1  10000  10049            NaN            NaN      0    217  1
 31   5000  1  10000 335416  1.9990001D+04  2.6939213D-05      1   2953  1
 31   5000  1  10000  10246            NaN            NaN      2    217  1
 31   5000  0     28    159  1.9990001D+04  1.3924513D-07      3      2  1
 31   5000  0     80   1864  1.9990001D+04  9.0189783D-07      4     17  1
 31   5000  0   8356 280398  1.9990001D+04  6.5789854D-07      5   2477  1
 32   5000  1  10000  10047            NaN            NaN      0   2088  1
 32   5000  0   6727   8663  9.0649964D-10  8.5167230D-07      1    312  1
 32   5000  1  10000  10227            NaN            NaN      2   2096  1
 32   5000  0     69    274  2.7286040D-16  4.3358853D-07      3      8  1
 32   5000  0   6829   7235  4.2710473D-13  6.5241636D-07      4    277  1
 32   5000  0     35     92  1.1646261D-25  1.3073986D-11      5      3  1
 33   5000  1  10000  12232            NaN            NaN      0    214  1
 33   5000  0   4223   5706 -1.0000250D+00  9.9996481D-07      1     94  1
 33   5000  0   1408   2123 -1.0000250D+00  9.6868975D-07      2     36  1
 33   5000  0   1044   1356 -1.0000250D+00  8.5738663D-07      3     23  1
 33   5000  0   1633   1739 -1.0000250D+00  9.9776122D-07      4     34  1
 33   5000  0   1087   1539 -1.0000250D+00  9.4201270D-07      5     27  1
 34   5000  1  10000  10004            NaN            NaN      0    216  1
 34   5000  0      5     29  3.9658814D+04  4.2721496D-08      1      0  1
 34   5000  1  10000  10007            NaN            NaN      2    219  1
 34   5000  0      5     32  3.9658814D+04  3.4663290D-09      3      0  1
 34   5000  0      4     29  3.9658814D+04  7.2321663D-13      4      0  1
 34   5000  0      3     27  3.9658814D+04  3.5603463D-07      5      0  1
 35   5000  1  10000  11453            NaN            NaN      0    254  1
 35   5000  1  10000 108260            NaN            NaN      1   1293  1
 35   5000  0    101   2306  1.9482559D+03  9.8614009D-07      2     26  1
 35   5000  0     89   1924  1.9482559D+03  8.5794379D-07      3     21  1
 35   5000  1  10000  10915            NaN            NaN      4    249  1
 35   5000  0     66   1187  1.9482559D+03  9.7747998D-07      5     14  1
 36   5000  1  10000  10051            NaN            NaN      0    271  1
 36   5000  1  10000  65372  2.7452901D+05  5.0071386D+05      1   1039  1
 36   5000  1  10000  10257            NaN            NaN      2    273  1
 36   5000  1  10000  10036            NaN            NaN      3    270  1
 36   5000  1  10000 308503  2.0006257D+04  1.4481336D-02      4   4403  1
 36   5000  1  10000 283188  2.0006257D+04  1.8941123D-05      5   4086  1
 37   5000  1  10000  10004  1.4333159D+06  5.9589340D+04      0    217  1
 37   5000  0   8361  10758  4.8882663D-15  9.8475347D-07      1    202  1
 37   5000  0   4113   6077  3.5197346D-13  8.2896721D-07      2    107  1
 37   5000  0   4596   5931  3.5297438D-13  8.6104625D-07      3    110  1
 37   5000  0   3462   3577  5.6119083D-14  9.9904797D-07      4     77  1
 37   5000  0   5474   7642  4.6568714D-13  9.2877570D-07      5    151  1
 38   5000  1  10000  10015            NaN            NaN      0    257  1
 38   5000  0    808   1020  0.0000000D+00  1.6111782D-07      1     23  1
 38   5000  0     27    240  0.0000000D+00  6.8173176D-09      2      3  1
 38   5000  0     73    867  0.0000000D+00  2.9517920D-07      3     12  1
 38   5000  0   1421   2321  0.0000000D+00  5.1236045D-07      4     48  1
 38   5000  0      7     70  0.0000000D+00  4.8840624D-08      5      1  1
 39   5000  1  10000  10209            NaN            NaN      0    227  1
 39   5000  1  10000  10023  7.7948467D+05  1.2485487D+06      1    224  1
 39   5000  0     29     86  4.9531458D-18  5.4358091D-09      2      1  1
 39   5000  0     36    206  1.4533283D-23  5.3163429D-09      3      2  1
 39   5000  0   6107   6219  1.9168095D-12  2.1851112D-07      4    139  1
 39   5000  0     17    107  1.6140757D-21  5.3986617D-08      5      1  1
 40   5000  1  10000  10077            NaN            NaN      0   5774  1
 40   5000  1  10000  15035  1.1027660D-06  3.8513319D-05      1    521  1
 40   5000  0   2314   4391  3.9244477D-06  9.7317155D-07      2    145  1
 40   5000  0   2404   4337  4.5557361D-06  8.5692339D-07      3    144  1
 40   5000  1  10000  11012  5.3619393D-07  1.5789130D-06      4    417  1
 40   5000  0   2491   4517  2.9167575D-06  8.4335404D-07      5    154  1
 41   5000  1  10000  10008  2.3349360D+02  1.5186272D+02      0    202  1
 41   5000  0      6     15  2.0957702D-15  2.0621090D-07      1      0  1
 41   5000  0     19     37  1.0743214D-14  5.6660943D-07      2      1  1
 41   5000  0     14     29  5.5638271D-15  3.6710790D-07      3      0  1
 41   5000  0      6     15  2.3029194D-16  2.0837017D-07      4      0  1
 41   5000  0     13     27  7.5486608D-15  3.5539332D-07      5      1  1
 42   5000  1  10000 141970 -4.9986626D+03  6.4474151D+02      0   4248  1
